"dataset","structure_index","enzyme_index","uniprot","sequence_length","substrate","n_samples","n_positive"
"brenda","304548","5228","Q8W4T9","485","O=C(O)CCC(=O)C(=O)O","1","0"
"brenda","304616","5127","O23066","553","CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C","1","0"
"brenda","304621","5262","Q9LNJ4","510","O=C(O)CCC(=O)C(=O)O","1","0"
"brenda","304626","5099","A0A068Q609","526","Cn1c(=O)nc(O)c2nc[nH]c21","1","0"
"brenda","304655","5188","Q2LAL0","503","C=CC1=C(C)c2cc3[n-]c(cc4[nH]c(cc5nc(cc1n2)C(C)=C5C=C)c(C)c4CCC(=O)O)c(CCC(=O)OC)c3C.[Mg+2]","1","0"
"brenda","304687","21352","Q9FPM6","478","O=C(O)O","1","0"
"brenda","304709","5125","P78329","520","N[C@@H](Cc1ccc(O)cc1)C(=O)O","1","0"
"brenda","304798","5097","Q6XQ14","511","O=C(/C=C/c1ccc(O)cc1)c1c(O)cc(O)cc1O","1","0"
"brenda","304936","5202","Q43033","506","N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1","1","0"
"brenda","304983","5081","P27786","507","Clc1cccc(-c2cccc(Cl)c2)c1","1","0"
"brenda","305078","5292","Q43257","538","C[C@H](O)[C@H](O)[C@H]1CNc2[nH]c(=N)nc(O)c2N1","1","0"
"brenda","305092","5127","O23066","553","O=C(O)Cc1ccc(O)cc1","1","0"
"brenda","305139","5358","Q07973","514","ClC1Cc2ccccc2C1","1","0"
"brenda","305143","5358","Q07973","514","O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12","1","0"
"brenda","305154","5330","S4UX02","495","O=C1O[C@H]([C@@H](O)CO)C(O)=C1O","1","0"
"brenda","305180","5112","Q9LSF8","515","Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)C1N=C(O)N=C(O)C1=N2","1","0"
"brenda","305281","4965","O09158","503","CC1CNc2[nH]c(=N)nc(O)c2N1","1","0"
"brenda","305321","5174","Q93ZB2","509","CC1=CC(=O)CC(C)(C)[C@@]1(O)/C=C/C(C)=C\C(=O)O","1","0"
"brenda","305329","5680","E9KBR8","527","O=C1O[C@H]([C@@H](O)CO)C(O)=C1O","1","0"
"brenda","305340","5180","Q9SWR5","521","O=O","1","0"
"brenda","305376","5300","Q12664","515","O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21","1","0"
"brenda","305459","5325","F8S1H8","491","N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1","1","0"
"brenda","305549","5109","P08684","503","NC1(C(=O)O)CC1","1","0"
"brenda","305697","5123","P51589","502","c1ccc(-c2ccccc2)cc1","1","0"
"brenda","305828","5289","X2JE85","496","CN(C)CCCCCCCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21","1","0"
"brenda","305870","5263","A0A0N9HTU1","493","N[C@@H](Cc1ccc(O)cc1)C(=O)O","1","0"
"brenda","305883","21272","B3LF83","384","CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O","1","0"
"brenda","305947","5174","Q93ZB2","509","C[C@H](O)[C@H](O)[C@H]1CNc2[nH]c(=N)nc(O)c2N1","1","0"
"brenda","305960","5150","Q8W3Y5","513","O=C(O)[C@@H]1CCCN1C(=O)CN=C(O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CN=C(O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1","1","0"
"brenda","306007","21353","Q8W2N5","478","N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)[C@@H](O)CC1","1","0"
"brenda","306028","5064","Q6VVX0","501","CSCC[C@H](N)C(O)=N[C@H](C(=O)O)C(C)C","1","0"
"brenda","306037","5317","P93149","523","CC(C)[C@@](O)(C(=O)OCC1=CCN2CC[C@@H](O)[C@@H]12)[C@@H](C)O","1","0"
"brenda","306080","5357","Q64441","514","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4[C@](C)(CO)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","0"
"brenda","306162","5295","Q16850","509","CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1","1","0"
"brenda","306266","5228","Q8W4T9","485","Cc1ccccc1C(=O)[O-]","1","0"
"brenda","306369","21272","B3LF83","384","O","1","0"
"brenda","306376","5206","P17549","517","N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1","1","0"
"brenda","306457","5278","O02766","500","CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O","1","0"
"brenda","306462","5676","L7T720","489","CCOC(=O)c1ccccc1F","1","0"
"brenda","306527","5354","Q06069","410","COc1cc2c(cc1O)C(Cc1ccc(OC)c(OC)c1)N(C)CC2","1","0"
"brenda","306579","5111","A0A1D6F9Y9","554","C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12","1","0"
"brenda","306593","5267","Q9FH76","463","Cc1c(N)cccc1[N+](=O)[O-]","1","0"
"brenda","306666","5262","Q9LNJ4","510","Cc1cccc(C(=O)O)c1O","1","0"
"brenda","306686","5064","Q6VVX0","501","CC(C)(O)C1Cc2c(cc3oc(=O)ccc3c2O)O1","1","0"
"brenda","306836","5267","Q9FH76","463","CC(C)=CCCC(C)CCC/C(C)=C/CC/C=C(\C)CCCC(C)CCC=C(C)C","1","0"
"brenda","306846","5126","Q6ZWL3","525","CN(C)C1C(=O)/C(=C(\N)O)C(=O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(O)C3CC12","1","0"
"brenda","306908","5174","Q93ZB2","509","O=C(O)CCC(=O)C(=O)O","1","0"
"brenda","307053","5174","Q93ZB2","509","O=C1O[C@H]([C@@H](O)CO)C(O)=C1O","1","0"
"brenda","307109","5079","P30437","514","O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O","1","0"
"brenda","307146","5071","O75881","506","Oc1cc(Cl)c(O)c(Cl)c1","1","0"
"brenda","307174","5210","Q08477","520","CCc1ccccc1","1","0"
"brenda","307265","5358","Q07973","514","C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C=O)[C@@H]2CC[C@@H]1C3","1","0"
"brenda","307333","5361","O35084","507","CC1=CC(=O)CC(C)(C)C1","1","0"
"brenda","307377","5214","D5JBX1","496","O=C1O[C@H]([C@@H](O)CO)C(O)=C1O","1","0"
"brenda","307392","5265","Q8VQF6","404","Cn1c(=O)nc(O)c2nc[nH]c21","1","0"
"brenda","307412","5000","P00191","496","N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O","1","0"
"brenda","307474","5083","Q9GMC7","509","C=Cc1c(C)c2cc3nc(cc4nc(cc5[nH]c(cc1[n-]2)c(C)c5C=C)C(C)=C4CCC(=O)O)C(CCC(=O)[O-])=C3C.[Fe+2]","1","0"
"brenda","307481","5116","A0A0C5QRZ2","492","N[C@@H](Cc1ccc(O)cc1)C(=O)O","1","0"
"brenda","307490","5123","P51589","502","C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC(O)CC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O","1","0"
"brenda","307512","5206","P17549","517","O=C1C[C@H]2CC1CC2=O","1","0"
"brenda","307514","5228","Q8W4T9","485","O=C1Cc2ccccc2C1Br","1","0"
"brenda","307543","5267","Q9FH76","463","O=C(O)c1ccc(O)cc1","1","0"
"brenda","307556","5071","O75881","506","CC(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)C","1","0"
"brenda","307605","21351","Q9AVQ1","478","O=C(O)O","1","0"
"brenda","307665","5358","Q07973","514","CC(=O)c1ccc(O)cc1","1","0"
"brenda","307683","5175","A0A0G2RKY1","519","O=C(O)c1cccc(O)c1","1","0"
"brenda","307693","5644","O64698","499","C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO","1","0"
"brenda","307723","5129","Q02928","519","CC1=C(C)C(O)C(C)=C(C)C1=O","1","0"
"brenda","307749","5114","A0A0Y0GRS3","494","O=C(O)CCC(=O)C(=O)O","1","0"
"brenda","307918","5202","Q43033","506","O=C(O)CCC(=O)C(=O)O","1","0"
"brenda","307993","5130","A2RRT9","525","CC(C)=CCc1c(C)[nH]c2ccccc2c1=O","1","0"
"brenda","308131","5201","Q9AR74","506","Clc1ccccc1-c1ccccc1","1","0"
"brenda","308164","5187","Q6WNR0","498","N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1","1","0"
"brenda","308205","5317","P93149","523","O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O","1","0"
"brenda","308208","5665","U5NDT8","527","C[C@H](O)[C@H](O)[C@H]1CNc2[nH]c(=N)nc(O)c2N1","1","0"
"brenda","308273","5342","P51663","503","O=C(O)CCC(=O)C(=O)O","1","0"
"brenda","308275","5002","Q64562","493","CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C","1","0"
"brenda","308298","5187","Q6WNR0","498","O=C(O)c1cc([O-])cc(O)c1","1","0"
"brenda","308377","5042","Q29497","509","N[C@@H](Cc1ccccc1)C(=O)O","1","0"
"brenda","308424","5184","Q6WNQ9","501","N[C@@H](Cc1cccs1)C(=O)O","1","0"
"brenda","308438","5128","B8QHP5","523","CC1=CC(=O)CC(C)(C)[C@H]1/C=C/C(C)=C\C(=O)O","1","0"
"brenda","308485","4959","Q04552","498","CCCCC(=O)C(=O)O","1","0"
"brenda","308500","4961","P11371","487","COC1Cc2ccccc2C1","1","0"
"brenda","308502","5267","Q9FH76","463","C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12","1","0"
"brenda","308609","5325","F8S1H8","491","COC(CCCCCCCCCCCCC(C)C)OCC(CO[Si](C)(C)C)O[Si](C)(C)C","1","0"
"brenda","308680","21272","B3LF83","384","C/C(=C\COP(=O)(O)OP(=O)(O)O)CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O","1","0"
"brenda","308715","5276","Q9UNU6","501","[Cl-]","1","0"
"brenda","308772","5210","Q08477","520","CC(=O)[C@@]1(O)CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C","1","0"
"brenda","308821","5210","Q08477","520","CCCCCCC1CCCC1=O","1","0"
"brenda","308829","5644","O64698","499","C=CC(C)(O)CCC=C(C)C","1","0"
"brenda","308842","5128","B8QHP5","523","O=C(O)[C@H](Cc1ccc(O)cc1)N(O)O","1","0"
"brenda","308892","5000","P00191","496","C=C(C=O)[C@@H]1CC[C@@H](C)[C@@H]2CCC(C)=C[C@@H]21","1","0"
"brenda","308934","5129","Q02928","519","N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O","1","0"
"brenda","308940","5147","Q9SD85","513","O=C(O)CCC(=O)C(=O)O","1","0"
"brenda","308972","5150","Q8W3Y5","513","N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O","1","0"
"brenda","308993","5114","A0A0Y0GRS3","494","Cc1cccc(C)c1","1","0"
"brenda","309060","5278","O02766","500","O=C(O)CO/N=C/c1ccccc1","1","0"
"brenda","309069","5295","Q16850","509","CC1=CC(=O)CC(C)(C)[C@@]1(O)/C=C/C(C)=C\C(=O)O","1","0"
"brenda","309095","5361","O35084","507","N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1","1","0"
"brenda","309113","5354","Q06069","410","CCCCCCC(O)CC(C)=O","1","0"
"brenda","309126","5078","P70687","511","CCC(C)/C=N/O","1","0"
"brenda","309127","5128","B8QHP5","523","N[C@@H](Cc1ccccc1)C(=O)O","1","0"
"brenda","309131","5262","Q9LNJ4","510","CC(C)=CCC/C(C)=C/CC/C(C)=C/C(=O)O","1","0"
"brenda","309161","5129","Q02928","519","CC1CNc2[nH]c(=N)nc(O)c2N1","1","0"
"brenda","309244","4961","P11371","487","CC(C)c1ccc2c(c1)CC[C@H]1C(C)(C)CCC[C@]21C","1","0"
"brenda","309258","5669","B5UAQ8","490","C[C@H](O)[C@H](O)[C@H]1CNc2[nH]c(=N)nc(O)c2N1","1","0"
"brenda","309267","5339","P15150","503","O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12","1","0"
"brenda","309323","5126","Q6ZWL3","525","NC1(C(=O)O)CC1","1","0"
"brenda","309354","5319","Q9SZ46","524","O=C(O)CCC(=O)C(=O)O","1","0"
"brenda","309355","5000","P00191","496","N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1","1","1"
"brenda","309373","5066","Q6VVW9","501","O=C(O)c1ccc(O)cc1","1","0"
"brenda","309415","5100","O65782","499","O=C(O)CCC(=O)C(=O)O","1","0"
"brenda","309467","5167","Q8VWZ7","493","Cc1ccc(C)cc1","1","0"
"brenda","309480","5278","O02766","500","O=C(O)CCC(=O)C(=O)O","1","0"
"brenda","309493","5068","Q9Y6A2","500","N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1","1","0"
"brenda","309511","5000","P00191","496","O=Cc1ccccc1","1","0"
"brenda","309540","5267","Q9FH76","463","O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21","1","0"
"brenda","309555","5079","P30437","514","CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C","1","0"
"brenda","309588","5000","P00191","496","COC(CCCCCCCCCCCC(C)C)OCC(CO[Si](C)(C)C)O[Si](C)(C)C","1","0"
"brenda","309621","5267","Q9FH76","463","N=C(O)c1ccccc1N","1","0"
"brenda","309638","5034","P05093","508","CCCCC/C=C\C[C@@H](O)/C=C/C=C\C=C\[C@@H](O)CCCC(=O)O","1","0"
"brenda","309659","5150","Q8W3Y5","513","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O","1","0"
"brenda","309716","5230","Q9AXH9","499","C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O","1","0"
"brenda","309717","5034","P05093","508","CCCCCCCCCCCCCC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O","1","0"
"brenda","309767","4981","P98187","520","Cn1c(=O)nc(O)c2nc[nH]c21","1","0"
"brenda","309808","5358","Q07973","514","CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","0"
"brenda","309838","5290","A6YIH8","502","C=C(C)[C@H]1CC[C@@](C)(O)C(=O)C1","1","0"
"brenda","309844","5188","Q2LAL0","503","CCc1cc(C(=N)S)ccn1","1","0"
"brenda","309992","5116","A0A0C5QRZ2","492","O=C([O-])c1cccc(Cl)c1","1","0"
"brenda","309999","5128","B8QHP5","523","C[N+](C)(C)[C@@H](Cc1cnc[nH]1)C(=O)[O-]","1","0"
"brenda","310020","5644","O64698","499","CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O","1","0"
"brenda","310038","5310","Q43255","536","CCCCC/C=C\C[C@@H](O)/C=C/C=C\C=C\[C@@H](O)CCCC(=O)O","1","0"
"brenda","310143","5081","P27786","507","C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC(O)CC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O","1","0"
"brenda","310198","5129","Q02928","519","O=[N+]([O-])c1ccc(O)c(O)c1","1","0"
"brenda","310222","23120","Q62969","501","CC(C)C/C=C\[N+](=O)[O-]","1","0"
"brenda","310252","5128","B8QHP5","523","O=C1O[C@H]([C@@H](O)CO)C(O)=C1O","1","0"
"brenda","310278","5116","A0A0C5QRZ2","492","COc1ccc(C[C@@H]2c3cc(O)c(OC)cc3CCN2C)cc1O","1","0"
"brenda","310300","5267","Q9FH76","463","N[C@H](Cc1ccc(O)cc1)C(=O)O","1","0"
"brenda","310322","5074","Q60991","507","O=C(O)CCc1cccc(O)c1","1","0"
"brenda","310339","5315","B4FVP3","505","CC1=CCCC(C)(C)C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C","1","0"
"brenda","310342","5035","P11715","507","N[C@@H](Cc1ccc(O)cc1)C(=O)O","1","0"
"brenda","310382","5167","Q8VWZ7","493","CSc1ccc(C)cc1","1","0"
"brenda","310388","5359","Q09128","514","C=Cc1c(C)c2cc3[n-]c(cc4nc(cc5nc(cc1[n-]2)C(C)=C5CCC(C)=O)C(CCC(C)=O)=C4C)c(C)c3C=C.[Fe+6]","1","0"
"brenda","310446","5035","P11715","507","CCCCC(O)CC(C)=O","1","0"
"brenda","310452","5243","H2DH16","486","N=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1","1","0"
"brenda","310475","5034","P05093","508","O=C(O)c1cccc(O)c1","1","0"
"brenda","310613","5175","A0A0G2RKY1","519","c1ccc(SC2CC2)cc1","1","0"
"brenda","310623","5095","O48958","531","O","1","0"
"brenda","310649","5339","P15150","503","CCOC(=O)c1ccccc1Cl","1","0"
"brenda","310668","5111","A0A1D6F9Y9","554","C=C1C[C@@]23CCC4C(C)(C)CCC[C@@]4(C)C2CC[C@@H]1C3","1","0"
"brenda","310672","5064","Q6VVX0","501","COC(=O)/C=C(\C)CC/C=C(\C)CCC=C(C)C","1","0"
"brenda","310765","5278","O02766","500","CCC(=O)c1ccc(O)cc1","1","0"
"brenda","310769","4961","P11371","487","C=Cc1ccc(C)cc1","1","0"
"brenda","310801","5657","A8CDR5","486","C=C1CCC[C@H]2[C@]3(C)CC[C@](C)(C4CO4)C[C@H]3CC[C@]12C","1","0"
"brenda","310840","5339","P15150","503","Cl/C=C\Cl","1","0"
"brenda","310877","5123","P51589","502","OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1","0"
"brenda","310893","5667","B1NF19","504","C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC[C@@H](O)C(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O","1","0"
"brenda","310971","5127","O23066","553","Oc1ccc(C2Oc3cc(O)cc(O)c3C(O)C2O)cc1","1","0"
"brenda","311037","5034","P05093","508","c1ccc2c(c1)Cc1ccccc1-2","1","0"
"brenda","311042","5315","B4FVP3","505","O=C(O)C=Cc1ccccc1","1","0"
"brenda","311044","5128","B8QHP5","523","c1ccc(-c2ccccc2)cc1","1","0"
"brenda","311057","5267","Q9FH76","463","CCc1ccccc1F","1","0"
"brenda","311064","5666","Q50LH4","495","N[C@@H](Cc1ccccc1)C(=O)O","1","0"
"brenda","311095","5363","O35132","501","O=C(O)CCC(=O)C(=O)O","1","0"
"brenda","311170","21272","B3LF83","384","O=C([O-])O","1","0"
"brenda","311311","5358","Q07973","514","Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)C1N=C(O)N=C(O)C1=N2","1","0"
"brenda","311428","5111","A0A1D6F9Y9","554","O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12","1","0"
"brenda","311434","5339","P15150","503","CC(C)c1cccc(O)c1O","1","0"
"brenda","311464","5167","Q8VWZ7","493","CC1=CCC2CC1C2(C)C","1","0"
"brenda","311512","5227","Q9AXM6","497","CCCCCCCCN","1","0"
"brenda","311676","5283","Q94IA6","491","c1cc2c3c(cccc3c1)CC2","1","0"
"brenda","311706","5034","P05093","508","CC1=CC(=O)C(CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(O)O)C1(C)C","1","0"
"brenda","311786","5170","D1MI46","495","O=O","1","0"
"brenda","311796","5358","Q07973","514","NC1(C(=O)O)CC1","1","0"
"brenda","311812","5225","P98183","506","O=O","1","0"
"brenda","311818","5198","P48522","505","O=C1CCCC(=O)C1","1","0"
"brenda","311920","5215","D5JBW9","488","O=C(O)CCC(=O)C(=O)O","1","0"
"brenda","311945","5295","Q16850","509","O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O","1","0"
"brenda","311949","5267","Q9FH76","463","Fc1ccccc1","1","0"
"brenda","312013","5296","Q64654","503","C[C@H](O)[C@H](O)[C@H]1CNc2[nH]c(=N)nc(O)c2N1","1","0"
"brenda","312055","5150","Q8W3Y5","513","C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12","1","0"
"brenda","312178","5283","Q94IA6","491","CCCCCCCC/C=C\CCCCCCCC(=O)O","1","0"
"brenda","312201","5128","B8QHP5","523","CC(O)=N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@](OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=N)nc3O)[C@H](O)[C@@H]2O)(C(=O)O)C[C@@H]1O","1","0"
"brenda","312224","23122","Q2KIG5","533","O=C(O)C(=O)Cc1ccccc1","1","0"
"brenda","312271","5229","O23051","490","N[C@@H](Cc1ccccc1)C(=O)O","1","0"
"brenda","312274","5362","O15528","508","O=C1CCCCC1c1ccccc1","1","0"
"brenda","312346","5034","P05093","508","CCCCC/C=C/C/C=C/C/C=C/C/C=C/CCCC(=O)O","1","0"
"brenda","312356","5267","Q9FH76","463","Oc1ccc(Br)cc1","1","0"
"brenda","312399","5123","P51589","502","O=P(O)(O)OC[C@H]1O[C@H](O)C(O)C1O","1","0"
"brenda","312423","5193","Q04468","505","CCSCc1ccccc1OC(O)=NC","1","0"
"brenda","312649","5283","Q94IA6","491","CC1=C(F)C(=O)CC(C)(C)[C@@]1(O)/C=C/C(C)=C\C(=O)O","1","0"
"brenda","312709","5119","A0A125QZE2","503","C[C@H](O)[C@H](O)[C@H]1CNc2[nH]c(=N)nc(O)c2N1","1","0"
"brenda","312729","5064","Q6VVX0","501","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","0"
"brenda","312735","5100","O65782","499","N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O","1","0"
"brenda","312791","5342","P51663","503","C=CC(C)(O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C","1","0"
"brenda","312825","5123","P51589","502","N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O","1","0"
"brenda","312833","5283","Q94IA6","491","O=C(O)CCC(=O)C(=O)O","1","0"
"brenda","312917","5109","P08684","503","C[C@H](O)c1ccccc1","1","0"
"brenda","312924","4981","P98187","520","C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C","1","0"
"brenda","312947","5193","Q04468","505","O=C(O)CCC(=O)C(=O)O","1","0"
"brenda","312948","21391","Q64429","543","CC(C(=O)O)/C(=C/C(=O)O)C(=O)O","1","0"
"brenda","313220","4961","P11371","487","O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21","1","0"
"brenda","313227","5064","Q6VVX0","501","C=Cc1ccc(C)cc1","1","0"
"brenda","313402","5361","O35084","507","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","0"
"brenda","313405","5100","O65782","499","C[N+](C)(C)CCO","1","0"
"brenda","313421","5266","Q9XHC6","513","C=CC1=C(C)/C2=C/C3NC(=C(C)C3C=C)/C=C3\N=C(/C=c4\[nH]/c(c(C)c4C(O)CC(=O)OC)=C\C1=N2)C(CCC(=O)O)=C3C.[H].[H].[Mg]","1","0"
"brenda","313441","5656","A0A140IL92","513","N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O","1","0"
"brenda","313477","5210","Q08477","520","C=Cc1c(C)c2cc3[n-]c(cc4nc(cc5nc(cc1[n-]2)C(C)=C5CCC(C)=O)C(CCC(C)=O)=C4C)c(C)c3C=C.[Fe+6]","1","0"
"brenda","313527","21272","B3LF83","384","N=c1nc(O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H](O)[C@H]3O)c2[nH]1","1","0"
"brenda","313530","5254","F6H9N6","480","Nc1ccccc1C(=O)C[C@H](N)C(=O)O","1","0"
"brenda","313550","5669","B5UAQ8","490","O=O","1","0"
"brenda","313630","5098","P48421","502","C=C1[C@@H](OC(C)=O)CC[C@@]2(C)C[C@H](O)C3=C(C)CCC(C[C@H]12)C3(C)C","1","0"
"brenda","313632","4965","O09158","503","C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12","1","0"
"brenda","313648","5263","A0A0N9HTU1","493","CC1=CC(=O)C(CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(O)O)C1(C)C","1","0"
"brenda","313650","5357","Q64441","514","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O","1","0"
"brenda","313656","5065","O46658","500","COc1ccccc1","1","0"
